Date,workoutId,exerciseId,singleSetId,exerciseName,reps,weight,fake_user_id
2019-11-15,0E7weR2ZWf,6REm9Tfqpa,qmHc1IwGp2,Dumbbell Row,12,22.67964547178199,fake_id_586
2020-08-11,DklMvofk6C,mnwUcsbS9T,THv3TOz6Jn,Barbell Bench Press,7,88.45061733994974,fake_id_517
2020-07-19,6ln6vaFlLT,dXqYJgUYO6,aPsHBOoJJz,Deadlift,8,74.84283005688056,fake_id_537
2019-11-19,6aHiJ92YHB,52vo7F7CLd,inkhtqeXG8,Close-Grip Bench Press,9,36.28743275485118,fake_id_551
2020-02-17,W8Lcm7Kv4J,mnwUcsbS9T,C4HWu6CpG3,Barbell Bench Press,10,61.235042773811365,fake_id_586
2020-07-08,Grci7sCFi7,G1mxtZtEs5,FaJtasioBM,Back Squat,8,61.235042773811365,fake_id_560
2020-03-04,nSMbSsXdSz,mvkMgAdecH,7suitGdb17,Dumbbell Shoulder Press,15,7.937875915123695,fake_id_554
2019-12-25,3JDsBk7Ozl,mnwUcsbS9T,ehtic1wuPK,Barbell Bench Press,4,81.64672369841516,fake_id_501
2020-02-13,ypvHbMLMum,h85ZOw37Wc,U9WzDlPiG8,Dumbbell Bench Press,10,31.75150366049478,fake_id_508
2020-07-12,DmUL9YNavz,6REm9Tfqpa,5h8Aq0CeHd,Dumbbell Row,4,29.483539113316585,fake_id_587
2020-05-09,koGVI1qQPr,mnwUcsbS9T,PQP34ahJ9a,Barbell Bench Press,12,34.01946820767298,fake_id_556
2020-02-01,m3OAUnEES3,6REm9Tfqpa,sR6fXY18Ft,Dumbbell Row,10,24.947610018960187,fake_id_525
2020-06-17,ki8OGXCWyc,ZAIuKpHvue,EZBzcabI2T,Dumbbell Lunge,4,10.205840462301895,fake_id_534
2020-05-23,oaPpX7hc8e,mnwUcsbS9T,OGxaIqUHxh,Barbell Bench Press,7,74.84283005688056,fake_id_534
2019-09-27,vWCPDJsxEr,ZAIuKpHvue,rB1eZ9Xc6F,Dumbbell Lunge,6,10.0,fake_id_543
2019-09-25,J05et4GZ0s,h85ZOw37Wc,EL1znvNGq9,Dumbbell Bench Press,5,22.67964547178199,fake_id_525
2019-11-09,JcVlHxT2Ll,G1mxtZtEs5,kolPEPcP13,Back Squat,3,99.79044007584075,fake_id_516
2019-12-30,FFwKOA084G,6REm9Tfqpa,4gOyyFyvot,Dumbbell Row,4,34.01946820767298,fake_id_501
2019-09-17,SmVJHBivDI,bOhZg3HbGM,apRt3rDjQ4,Dumbbell Bent Over Row,5,20.41168092460379,fake_id_555
2019-11-12,d9mEfBZGDR,52vo7F7CLd,Ra4In8HhiS,Close-Grip Bench Press,12,61.235042773811365,fake_id_574
2020-06-01,e0q5xG2j8v,mvkMgAdecH,XSsHjvNujk,Dumbbell Shoulder Press,6,27.215574566138386,fake_id_562
